,waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
11666,22/03/18 21.10,0,356.6,26.1,78.1,1008.1,7.2,0.9
11667,22/03/18 21.20,0.1,339.2,26,78.4,1008,7.2,0.4
11668,22/03/18 21.30,0,346.2,26.1,78.8,1008,7.2,1.7
11669,22/03/18 21.40,0,346.3,25.8,80.3,1007.8,7.2,0.8
11670,22/03/18 21.50,0.1,358.2,25.8,80.1,1007.9,7.2,0.6
11671,22/03/18 22.00,0,0,25.7,80.9,1008,7.2,1
11672,22/03/18 22.10,0,0,25.6,82,1008.2,7.2,0.8
11673,22/03/18 22.20,0,0,25.5,82.7,1008.2,7.2,1.2
11674,22/03/18 22.30,0.1,20.8,25.4,83.4,1008.4,7.2,1.3
11675,22/03/18 22.40,0.1,29.4,25.4,84.5,1008.4,7.2,1.4
11676,22/03/18 22.50,0,0,25.4,85.6,1008.5,7.2,2.2
11677,22/03/18 23.00,0,0,25.4,85.8,1008.5,7.2,2.6
11678,22/03/18 23.10,0,0,25.4,85.8,1008.5,7.2,7.4
11679,22/03/18 23.20,0.4,79.5,25.5,85.6,1008.4,7.2,11
11680,22/03/18 23.30,0.4,75.9,25.7,85.2,1008.5,7.2,12
11681,22/03/18 23.40,0,0,25.8,85.2,1008.5,7.2,17.1
11682,22/03/18 23.50,0,359,25.9,84.9,1008.6,7.2,21
11683,23/03/18 00.00,0.7,343.8,26.3,82.8,1008.5,0,22.1
11684,23/03/18 00.10,0.9,315.1,26.8,82.4,1008.6,0,28.3
11685,23/03/18 00.20,1.1,327.5,27,82,1008.6,0,49.6
11686,23/03/18 00.30,0.5,332.1,27.1,81.5,1008.7,0,71.9
11687,23/03/18 00.40,0.4,349.2,27.4,81,1008.9,0,99.4
11688,23/03/18 00.50,0.5,66.9,27.5,80.8,1008.8,0,122.1
11689,23/03/18 01.00,1.1,107.1,27.7,79.6,1009,0,175.1
11690,23/03/18 01.10,1.3,134,28,78.3,1009.1,0,245.5
11691,23/03/18 01.20,1.1,116.2,28.2,78.1,1009.1,0,194.3
11692,23/03/18 01.30,1,128.4,28.1,77.8,1009.2,0,106.2
11693,23/03/18 01.40,0.9,118.2,28,77.9,1009.1,0,228.4
11694,23/03/18 01.50,0.5,61.9,28.4,75.3,1009.3,0,237.2
11695,23/03/18 02.00,0.4,352.6,28.6,75.7,1009.2,0,142.8
11696,23/03/18 02.10,1.05,329.1,28.3,76.6,1009.2,0,126.6
11697,23/03/18 02.20,1.7,305.6,28,77.5,1009.2,0,110.4
11698,23/03/18 02.30,1.6,324.6,28.2,77.4,1009.1,0,178.6
11699,23/03/18 02.40,2.3,301.5,28.1,77.1,1009.2,0,250.1
11700,23/03/18 02.50,1.5,300.6,28.5,75.6,1009,0,480.7
11701,23/03/18 03.00,1.5,313.4,29.1,73.9,1008.7,0,418.6
11702,23/03/18 03.10,1.8,308.9,28.9,73.8,1008.9,0,362.7
11703,23/03/18 03.20,1.1,318.2,29.2,72.4,1008.7,0,306.2
11704,23/03/18 03.30,1.6,272.5,29.4,71,1008.7,0,454.5
11705,23/03/18 03.40,1.3,313.7,29.5,70.9,1008.5,0,206.1
11706,23/03/18 03.50,1.6,306.6,29.9,69.2,1008.4,0.2,527.2
11707,23/03/18 04.00,2.1,310.2,30.2,68.8,1008.3,0.2,547.6
11708,23/03/18 04.10,0.7,8,30.4,69.3,1008.4,0.2,829.8
11709,23/03/18 04.20,1.8,328.4,31,67.9,1007.9,0.2,763
11710,23/03/18 04.30,2.1,313.8,30.7,66.6,1007.7,0.2,751.6
11711,23/03/18 04.40,1.5,351.1,31.2,67.4,1007.6,0.2,704
11712,23/03/18 04.50,1.9,328.3,31.2,65.1,1007.5,0.2,706.5
11713,23/03/18 05.00,1.9,344.7,31.1,65.9,1007.3,0.2,788.9
11714,23/03/18 05.10,2.3,325.5,31.5,64.4,1007.1,0.2,832.4
11715,23/03/18 05.20,2.7,349.5,31.2,65.1,1007.2,0.2,837
11716,23/03/18 05.30,2.9,333.1,30.7,65.2,1007.1,0.2,379.7
11717,23/03/18 05.40,2.2,337.9,30,69.6,1007,0.2,206.2
11718,23/03/18 05.50,2.6,311.4,29.8,68.5,1006.9,0.2,411.1
11719,23/03/18 06.00,3.1,296.8,30.3,66.9,1006.6,0.2,700.7
