waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
6/2/2019 19.10.00,2.8,264.7,26.8,79.8,1010.0,0.0,0.2
6/2/2019 19.20.00,1.4,284.5,26.6,80.6,1009.9,0.0,0.2
6/2/2019 19.30.00,1.8,278.2,26.5,80.9,1009.9,0.0,0.2
6/2/2019 19.40.00,2.3,301.1,26.4,80.9,1009.8,0.0,0.1
6/2/2019 19.50.00,1.8,239.1,26.3,80.4,1009.8,0.0,0.2
6/2/2019 20.00.00,1.6,259.2,26.3,80.1,1009.9,0.0,0.2
6/2/2019 20.10.00,,,,,,,
6/2/2019 20.20.00,1.9,267.0,26.4,77.8,1010.1,0.0,0.2
6/2/2019 20.30.00,1.0,347.6,26.3,77.7,1010.2,0.0,0.2
6/2/2019 20.40.00,,,,,,,
6/2/2019 20.50.00,2.2,248.3,26.2,78.3,1010.2,0.0,0.1
6/2/2019 21.00.00,2.3,237.6,25.9,78.7,1010.1,0.0,0.1
6/2/2019 21.10.00,,,,,,,
6/2/2019 21.20.00,1.9,245.2,25.9,79.6,1010.1,0.0,0.2
6/2/2019 21.30.00,2.0,262.7,25.9,80.0,1010.1,0.0,0.2
6/2/2019 21.40.00,2.4,272.3,25.7,80.3,1010.0,0.0,0.1
6/2/2019 21.50.00,2.2,276.8,25.6,81.0,1010.0,0.0,0.1
6/2/2019 22.00.00,,,,,,,
6/2/2019 22.10.00,,,,,,,
6/2/2019 22.20.00,1.8,277.5,25.7,81.3,1010.0,0.0,0.1
6/2/2019 22.30.00,,,,,,,
6/2/2019 22.40.00,1.6,281.7,25.6,81.7,1009.5,0.0,0.1
6/2/2019 22.50.00,1.7,295.1,25.6,81.7,1009.5,0.0,0.1
6/2/2019 23.00.00,1.4,295.4,25.7,81.9,1009.6,0.0,0.6
6/2/2019 23.10.00,1.6,261.6,25.8,81.9,1009.7,0.0,2.2
6/2/2019 23.20.00,0.6,270.6,25.9,82.3,1009.9,0.0,6.0
6/2/2019 23.30.00,0.7,295.4,25.8,82.1,1010.1,0.0,10.6
6/2/2019 23.40.00,1.8,253.0,25.9,80.9,1010.3,0.0,16.3
6/2/2019 23.50.00,1.2,286.5,26.1,79.7,1010.5,0.0,21.7
6/3/2019 0.00.00,1.0,297.8,26.3,78.9,1010.7,0.0,22.3
6/3/2019 0.10.00,1.5,276.5,26.4,78.1,1010.9,0.0,20.6
6/3/2019 0.20.00,0.7,308.3,26.4,78.2,1011.2,0.0,18.6
6/3/2019 0.30.00,1.1,298.2,26.4,77.5,1011.2,0.0,15.6
6/3/2019 0.40.00,0.8,334.3,26.5,77.6,1011.2,0.0,17.9
6/3/2019 0.50.00,0.7,298.4,26.6,77.4,1011.2,0.0,25.6
6/3/2019 1.00.00,1.0,54.9,26.8,76.5,1011.3,0.0,34.2
6/3/2019 1.10.00,,,,,,,
6/3/2019 1.20.00,0.5,63.5,26.9,75.2,1011.8,0.0,58.6
6/3/2019 1.30.00,1.4,144.5,27.1,77.6,1011.8,0.0,70.1
6/3/2019 1.40.00,0.9,89.7,27.1,78.8,1011.8,0.0,76.4
6/3/2019 1.50.00,0.7,95.5,27.2,78.2,1011.8,0.0,82.8
6/3/2019 2.00.00,0.6,93.4,27.6,74.9,1012.0,0.0,92.7
6/3/2019 2.10.00,,,,,,,
6/3/2019 2.20.00,1.8,148.5,28.0,70.8,1012.2,0.0,102.3
6/3/2019 2.30.00,1.2,111.3,28.0,71.5,1012.3,0.0,119.7
6/3/2019 2.40.00,1.7,136.6,27.9,72.2,1012.3,0.0,135.7
6/3/2019 2.50.00,1.1,124.7,28.0,72.2,1012.2,0.0,162.0
6/3/2019 3.00.00,1.3,133.3,28.4,71.2,1012.1,0.0,209.4
6/3/2019 3.10.00,1.4,138.6,28.8,69.7,1012.0,0.0,264.5
6/3/2019 3.20.00,0.8,87.2,29.7,67.0,1012.1,0.0,320.6
6/3/2019 3.30.00,1.0,110.3,29.9,65.8,1011.9,0.0,252.6
6/3/2019 3.40.00,1.0,50.5,30.1,64.2,1012.0,0.0,237.9
6/3/2019 3.50.00,1.3,126.1,30.3,63.5,1011.9,0.0,194.4
6/3/2019 4.00.00,0.8,98.7,30.3,63.8,1011.7,0.0,231.8
6/3/2019 4.10.00,1.1,127.0,31.1,61.5,1012.0,0.0,385.0
6/3/2019 4.20.00,,,,,,,
6/3/2019 4.30.00,0.9,355.9,31.4,60.7,1011.2,0.0,613.6
6/3/2019 4.40.00,0.4,43.0,31.8,59.2,1011.0,0.0,498.6
6/3/2019 4.50.00,0.9,42.5,31.6,59.6,1010.9,0.0,351.1
6/3/2019 5.00.00,0.7,56.5,32.1,59.3,1010.6,0.0,380.0
6/3/2019 5.10.00,,,,,,,
6/3/2019 5.20.00,0.9,95.3,32.1,58.8,1010.2,0.0,361.6
6/3/2019 5.30.00,0.7,38.7,32.3,59.8,1010.0,0.0,356.4
6/3/2019 5.40.00,0.6,113.8,32.4,57.8,1009.8,0.0,429.2
6/3/2019 5.50.00,1.1,91.0,32.5,57.2,1009.6,0.0,513.3
6/3/2019 6.00.00,1.3,122.3,32.3,56.5,1009.4,0.0,417.2
6/3/2019 6.10.00,1.2,7.2,32.5,55.6,1009.1,0.0,487.1
6/3/2019 6.20.00,1.3,280.5,33.0,53.4,1009.0,0.0,454.8
6/3/2019 6.30.00,1.4,358.5,33.2,51.0,1008.8,0.0,464.7
6/3/2019 6.40.00,,,,,,,
6/3/2019 6.50.00,1.4,1.5,34.0,48.2,1008.5,0.0,399.0
6/3/2019 7.00.00,1.3,16.2,33.5,49.0,1008.4,0.0,185.4
6/3/2019 7.10.00,0.5,305.8,33.2,49.0,1008.3,0.0,351.8
6/3/2019 7.20.00,1.2,263.3,33.6,47.8,1008.3,0.0,402.3
6/3/2019 7.30.00,0.5,301.8,34.1,47.1,1008.2,0.0,404.8
6/3/2019 7.40.00,1.2,76.9,34.0,46.8,1008.1,0.0,313.5
6/3/2019 7.50.00,0.1,16.0,34.1,49.5,1008.0,0.0,322.6
6/3/2019 8.00.00,1.3,106.2,33.9,53.8,1007.8,0.0,232.8
6/3/2019 8.10.00,1.5,71.6,32.3,62.5,1007.7,0.0,126.3
6/3/2019 8.20.00,1.0,74.2,31.8,63.5,1007.5,0.0,103.2
6/3/2019 8.30.00,1.4,22.3,31.9,63.1,1007.3,0.0,103.8
6/3/2019 8.40.00,0.7,41.7,32.1,61.5,1007.4,0.0,112.5
6/3/2019 8.50.00,0.8,73.7,32.2,60.2,1007.5,0.0,111.6
6/3/2019 9.00.00,0.3,6.7,32.5,60.2,1007.4,0.0,133.8
6/3/2019 9.10.00,0.5,6.6,32.5,59.6,1007.5,0.0,132.8
6/3/2019 9.20.00,0.7,31.0,32.5,59.1,1007.5,0.0,116.7
6/3/2019 9.30.00,0.5,55.1,32.4,60.3,1007.6,0.0,86.5
6/3/2019 9.40.00,0.6,45.9,32.1,61.5,1007.6,0.0,57.4
6/3/2019 9.50.00,0.6,33.0,31.8,62.5,1007.7,0.0,45.3
6/3/2019 10.00.00,1.4,18.0,31.4,66.7,1007.7,0.0,37.2
